Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
MORELOS ST|NORTHWESTERN AVE|WEBBERVILLE RD,MORELOS ST,WEBBERVILLE RD,NORTHWESTERN AVE,['2018-07-29'],Residential,B,B,B,2021.0,2018.0,2018.0,2199,1,
MORENO ST|NITSCHKE ST|VAUGHAN ST,MORENO ST,NITSCHKE ST,VAUGHAN ST,"['2018-04-17', '2019-11-04']",Residential,B,C,C,2021.0,2018.0,2018.0,1736,2,566.0
MORENO ST|TILLEY ST|VAUGHAN ST,MORENO ST,VAUGHAN ST,TILLEY ST,"['2018-04-17', '2019-11-04']",Residential,B,B,B,2021.0,2018.0,2018.0,1736,2,566.0
MORNING DEW DR|IRIS LN|SUMMERSET TRL,MORNING DEW DR,IRIS LN,SUMMERSET TRL,['2018-05-15'],Residential,C,C,C,2022.0,2019.0,2017.0,2274,1,
MORNING DEW DR|IRIS LN|SUN VISTA DR,MORNING DEW DR,SUN VISTA DR,IRIS LN,['2018-05-15'],Residential,C,C,C,2022.0,2019.0,2017.0,2274,1,
MORNING DEW DR|SUN VISTA DR|WESTCREEK DR,MORNING DEW DR,WESTCREEK DR,SUN VISTA DR,['2018-05-15'],Residential,B,D,D,2022.0,2019.0,2017.0,2274,1,
MORNING PRIMROSE CT|CUL DE SAC|DESERT WILLOW LOOP,MORNING PRIMROSE CT,DESERT WILLOW LOOP,CUL DE SAC,['2018-05-25'],Residential,D,C,D,2022.0,2019.0,2017.0,2264,1,
MORNING QUAIL DR|GOLDEN PHEASANT DR|PRAIRIE HEN LN,MORNING QUAIL DR,PRAIRIE HEN LN,GOLDEN PHEASANT DR,['2018-02-26'],Residential,B,B,B,2020.0,2018.0,2018.0,2352,1,
MORNING QUAIL DR|HIDDEN QUAIL DR|RUFFED GROUSE DR,MORNING QUAIL DR,HIDDEN QUAIL DR,RUFFED GROUSE DR,['2018-02-26'],Residential,C,C,C,2020.0,2018.0,2018.0,2352,1,
MORNING QUAIL DR|PRAIRIE HEN LN|RUFFED GROUSE DR,MORNING QUAIL DR,RUFFED GROUSE DR,PRAIRIE HEN LN,['2018-02-26'],Residential,B,B,B,2020.0,2018.0,2018.0,2352,1,
MORRIS RD|13408|WATER OAK LN,MORRIS RD,WATER OAK LN,13408,['2018-10-11'],Residential,B,C,C,2020.0,2018.0,2018.0,2125,1,
MORRIS RD|ANDERSON MILL RD|SLANT OAK DR,MORRIS RD,ANDERSON MILL RD,SLANT OAK DR,['2018-10-11'],Residential,C,B,B,2020.0,2018.0,2018.0,2125,1,
MORRIS RD|LYNDON LN|TALYNE CHAISE CIR,MORRIS RD,TALYNE CHAISE CIR,LYNDON LN,['2018-10-11'],Residential,C,C,C,2020.0,2018.0,2018.0,2125,1,
MORRIS RD|LYNDON LN|WATER OAK LN,MORRIS RD,LYNDON LN,WATER OAK LN,['2018-10-11'],Residential,F,C,C,2020.0,2018.0,2018.0,2125,1,
MORRIS RD|SLANT OAK DR|YELLOW OAK ST,MORRIS RD,SLANT OAK DR,YELLOW OAK ST,['2018-10-11'],Residential,A,B,B,2020.0,2018.0,2018.0,2125,1,
MORRIS RD|TALYNE CHAISE CIR|TALYNE CHAISE CIR,MORRIS RD,TALYNE CHAISE CIR,TALYNE CHAISE CIR,['2018-10-11'],Residential,B,B,B,2020.0,2018.0,2018.0,2125,1,
MORRIS RD|TALYNE CHAISE CIR|YELLOW OAK ST,MORRIS RD,YELLOW OAK ST,TALYNE CHAISE CIR,['2018-10-11'],Residential,A,B,B,2020.0,2018.0,2018.0,2125,1,
MORROW ST|HARDY DR|MULLEN DR,MORROW ST,MULLEN DR,HARDY DR,"['2018-12-05', '2018-12-05']",Collector,D,F,D,2020.0,2020.0,2018.0,2070,2,0.0
MOSLEY LN|AMHERST DR|COLOGNE LN,MOSLEY LN,COLOGNE LN,AMHERST DR,['2017-05-04'],Residential,F,B,B,2020.0,2018.0,2018.0,2650,1,
MOSLEY LN|BRIGADOON LN|COLOGNE LN,MOSLEY LN,BRIGADOON LN,COLOGNE LN,['2017-05-04'],Residential,A,C,C,2020.0,2018.0,2018.0,2650,1,
MOSLEY LN|BRIGADOON LN|TATTERSHALL LN,MOSLEY LN,TATTERSHALL LN,BRIGADOON LN,['2017-05-04'],Residential,B,C,C,2020.0,2018.0,2018.0,2650,1,
MOSLEY LN|COLOGNE LN|SKIPTON DR,MOSLEY LN,SKIPTON DR,COLOGNE LN,['2017-05-04'],Residential,C,B,B,2020.0,2018.0,2018.0,2650,1,
MOSLEY LN|COLOGNE LN|TATTERSHALL LN,MOSLEY LN,COLOGNE LN,TATTERSHALL LN,['2017-05-04'],Residential,A,C,C,2020.0,2018.0,2018.0,2650,1,
MOSLEY LN|HAWKSHEAD DR|SKIPTON DR,MOSLEY LN,HAWKSHEAD DR,SKIPTON DR,['2017-05-04'],Residential,C,C,C,2020.0,2018.0,2018.0,2650,1,
MOSQUERO CIR|ESCABOSA DR|ESCABOSA DR,MOSQUERO CIR,ESCABOSA DR,ESCABOSA DR,['2018-06-13'],Residential,B,B,B,2022.0,2019.0,2017.0,2245,1,
MOSS ST|AIRPORT BLVD|ROUNTREE DR,MOSS ST,ROUNTREE DR,AIRPORT BLVD,['2017-07-24'],Residential,C,C,C,2021.0,2018.0,2018.0,2569,1,
MOTHERAL DR|11100|BRAKER LN W,MOTHERAL DR,11100,BRAKER LN W,['2018-12-17'],Residential,C,C,C,2020.0,2018.0,2018.0,2058,1,
MOTHERAL|FERGUSON DR|PROVINES DR,MOTHERAL,PROVINES DR,FERGUSON DR,['2017-10-30'],Residential,C,B,B,2020.0,2018.0,2018.0,2471,1,
MOTHERAL|GRADY DR W|PROVINES DR,MOTHERAL,GRADY DR W,PROVINES DR,['2017-10-30'],Residential,B,C,C,2020.0,2018.0,2018.0,2471,1,
MOUNT VERNON DR|GREEN FOREST DR|NALIDE ST,MOUNT VERNON DR,NALIDE ST,GREEN FOREST DR,['2017-06-15'],Residential,C,C,C,2022.0,2019.0,2017.0,2608,1,
MOUNT VERNON DR|NALIDE ST|PHILCO DR,MOUNT VERNON DR,PHILCO DR,NALIDE ST,['2017-06-15'],Collector,F,F,F,2022.0,2019.0,2017.0,2608,1,
MOUNT VERNON DR|PHILCO DR|REDD ST,MOUNT VERNON DR,REDD ST,PHILCO DR,['2017-06-15'],Collector,C,C,C,2022.0,2019.0,2017.0,2608,1,
MOUNTAIN LAUREL DR|2809|MOUNTAIN LAUREL LN,MOUNTAIN LAUREL DR,MOUNTAIN LAUREL LN,2809,['2016-12-02'],Residential,C,C,C,2021.0,2018.0,2018.0,2803,1,
MOUNTAIN LAUREL DR|EXPOSITION BLVD|MOUNTAIN LAUREL LN,MOUNTAIN LAUREL DR,EXPOSITION BLVD,MOUNTAIN LAUREL LN,['2016-12-02'],Residential,D,D,D,2021.0,2018.0,2018.0,2803,1,
MOUNTAIN VIEW DR|BARTON HILLS DR|KASSARINE PASS,MOUNTAIN VIEW DR,KASSARINE PASS,BARTON HILLS DR,['2018-12-05'],Residential,B,C,C,2021.0,2019.0,2017.0,2070,1,
MOUNTAIN VIEW DR|KASSARINE PASS|TETHER TRL,MOUNTAIN VIEW DR,TETHER TRL,KASSARINE PASS,['2018-12-05'],Residential,C,D,D,2021.0,2019.0,2017.0,2070,1,
MOUNTAIN VIEW DR|KATHY CV|TETHER TRL,MOUNTAIN VIEW DR,KATHY CV,TETHER TRL,['2018-12-05'],Residential,D,F,D,2021.0,2019.0,2017.0,2070,1,
MOUNTAIN VILLA DR|CROSS VALLEY RUN|WILD PLUM CT,MOUNTAIN VILLA DR,CROSS VALLEY RUN,WILD PLUM CT,['2018-05-21'],Collector,D,F,F,2020.0,2018.0,2018.0,2268,1,
MOUNTAIN VILLA DR|JESSAMINE HOLW|MOUNT BONNELL RD,MOUNTAIN VILLA DR,JESSAMINE HOLW,MOUNT BONNELL RD,['2018-05-21'],Collector,B,C,C,2020.0,2018.0,2018.0,2268,1,
MOUNTAIN VILLA DR|JESSAMINE HOLW|UPVALLEY RUN,MOUNTAIN VILLA DR,UPVALLEY RUN,JESSAMINE HOLW,['2018-05-21'],Collector,C,C,C,2020.0,2018.0,2018.0,2268,1,
MOUNTAIN VILLA DR|LEDGE MOUNTAIN DR|TWIN LEDGE DR,MOUNTAIN VILLA DR,TWIN LEDGE DR,LEDGE MOUNTAIN DR,"['2018-05-21', '2018-05-21']",Collector,D,F,F,2020.0,2020.0,2018.0,2268,2,0.0
MOUNTAIN VILLA DR|MOUNT BONNELL RD|TWIN LEDGE CIR,MOUNTAIN VILLA DR,MOUNT BONNELL RD,TWIN LEDGE CIR,['2018-05-21'],Collector,D,D,D,2020.0,2018.0,2018.0,2268,1,
MOUNTAIN VILLA DR|MOUNTAIN VILLA CIR|TWIN LEDGE DR,MOUNTAIN VILLA DR,MOUNTAIN VILLA CIR,TWIN LEDGE DR,['2018-05-21'],Collector,F,F,F,2020.0,2018.0,2018.0,2268,1,
MOUNTAIN VILLA DR|MOUNTAIN VILLA CIR|TWIN VALLEY DR,MOUNTAIN VILLA DR,TWIN VALLEY DR,MOUNTAIN VILLA CIR,['2018-05-21'],Collector,C,D,D,2020.0,2018.0,2018.0,2268,1,
MOUNTAIN VILLA DR|RIDGESIDE CT|UPVALLEY RUN,MOUNTAIN VILLA DR,RIDGESIDE CT,UPVALLEY RUN,['2018-05-21'],Collector,B,C,C,2020.0,2018.0,2018.0,2268,1,
MOUNTAIN VILLA DR|RIDGESIDE CT|WILD PLUM CT,MOUNTAIN VILLA DR,WILD PLUM CT,RIDGESIDE CT,['2018-05-21'],Collector,B,C,C,2020.0,2018.0,2018.0,2268,1,
MOUNTAIN VILLA DR|TWIN LEDGE CIR|TWIN LEDGE CV,MOUNTAIN VILLA DR,TWIN LEDGE CIR,TWIN LEDGE CV,['2018-05-21'],Collector,C,C,C,2020.0,2018.0,2018.0,2268,1,
MOUNTAIN VILLA DR|TWIN LEDGE CV|TWIN VALLEY DR,MOUNTAIN VILLA DR,TWIN LEDGE CV,TWIN VALLEY DR,['2018-05-21'],Collector,D,C,C,2020.0,2018.0,2018.0,2268,1,
MOUNTAINEER LN|1001|EASY WIND DR,MOUNTAINEER LN,EASY WIND DR,1001,['2018-12-06'],Residential,A,C,C,2020.0,2018.0,2018.0,2069,1,
MOUNTAINEER LN|1003|WOLVERINE ST,MOUNTAINEER LN,1003,WOLVERINE ST,['2018-12-06'],Residential,C,C,C,2020.0,2018.0,2018.0,2069,1,
MOUNTAINEER LN|801|SUGAR MAGNOLIA ST,MOUNTAINEER LN,801,SUGAR MAGNOLIA ST,['2018-12-06'],Residential,B,C,C,2020.0,2018.0,2018.0,2069,1,
MOUNTAINEER LN|EASY WIND DR|SUGAR MAGNOLIA ST,MOUNTAINEER LN,SUGAR MAGNOLIA ST,EASY WIND DR,['2018-12-06'],Residential,A,C,C,2020.0,2018.0,2018.0,2069,1,
MOUNTAINWOOD CIR|8722|HYRIDGE DR,MOUNTAINWOOD CIR,HYRIDGE DR,8722,['2016-10-07'],Residential,C,C,C,2020.0,2018.0,2018.0,2859,1,
MUCK DR|13504|RANDLEMAN DR,MUCK DR,RANDLEMAN DR,13504,['2019-09-17'],Residential,F,D,D,2022.0,2019.0,2017.0,1784,1,
MUELLER BLVD|51ST ST E|BARBARA JORDAN BLVD,MUELLER BLVD,BARBARA JORDAN BLVD,51ST ST E,['2019-11-09'],Arterial,D,D,D,2021.0,2018.0,2018.0,1731,1,
MUELLER BLVD|ALDRICH ST|RAGSDALE ST,MUELLER BLVD,ALDRICH ST,RAGSDALE ST,"['2019-11-09', '2019-11-09']",Arterial,D,D,B,2022.0,2021.0,2019.0,1731,2,0.0
MUELLER BLVD|BARBARA JORDAN BLVD|GARCIA ST,MUELLER BLVD,GARCIA ST,BARBARA JORDAN BLVD,"['2019-11-09', '2019-11-09']",Collector,B,D,B,2022.0,2022.0,2019.0,1731,2,0.0
MUELLER BLVD|GARCIA ST|PHILOMENA ST,MUELLER BLVD,PHILOMENA ST,GARCIA ST,"['2019-11-09', '2019-11-09']",Collector,C,C,B,2022.0,2021.0,2019.0,1731,2,0.0
MUELLER BLVD|PHILOMENA ST|ROBERT BROWNING ST,MUELLER BLVD,ROBERT BROWNING ST,PHILOMENA ST,"['2019-11-09', '2019-11-09']",Arterial,C,C,B,2022.0,2021.0,2019.0,1731,2,0.0
MUELLER BLVD|RAGSDALE ST|ROBERT BROWNING ST,MUELLER BLVD,RAGSDALE ST,ROBERT BROWNING ST,"['2019-11-09', '2019-11-09']",Arterial,C,C,B,2022.0,2021.0,2019.0,1731,2,0.0
MUFFIN DR|JAIRED DR|RITCHIE DR,MUFFIN DR,JAIRED DR,RITCHIE DR,['2017-08-23'],Residential,D,C,C,2021.0,2018.0,2018.0,2539,1,
MULE TRAIN DR|FURROW HILL DR|RELIANCE CREEK DR,MULE TRAIN DR,RELIANCE CREEK DR,FURROW HILL DR,['2019-10-28'],Residential,C,B,B,2022.0,2019.0,2018.0,1743,1,
MULE TRAIN DR|NIGHT CAMP DR|PACK WAGON TRL,MULE TRAIN DR,PACK WAGON TRL,NIGHT CAMP DR,['2019-10-28'],Residential,C,B,B,2022.0,2019.0,2018.0,1743,1,
MULE TRAIN DR|NIGHT CAMP DR|RELIANCE CREEK DR,MULE TRAIN DR,NIGHT CAMP DR,RELIANCE CREEK DR,['2019-10-28'],Residential,C,B,B,2022.0,2019.0,2018.0,1743,1,
MUNDOMAR DR|BERNIA DR|TRISSINO DR,MUNDOMAR DR,BERNIA DR,TRISSINO DR,"['2018-03-26', '2019-11-01']",Residential,B,B,B,2022.0,2019.0,2017.0,1739,2,585.0
MURRAY LN|ENFIELD RD|WEST LYNN ST,MURRAY LN,ENFIELD RD,WEST LYNN ST,['2019-11-04'],Residential,C,B,B,2021.0,2018.0,2018.0,1736,1,
MURRON DR|ADAIR LN|MAGNUS ST,MURRON DR,MAGNUS ST,ADAIR LN,['2018-03-19'],Residential,C,C,C,2020.0,2018.0,2018.0,2331,1,
MUSKET VALLEY TRL|BACHMAN DR|TIMBER HEIGHT DR,MUSKET VALLEY TRL,TIMBER HEIGHT DR,BACHMAN DR,['2019-11-01'],Collector,F,C,C,2020.0,2018.0,2018.0,1739,1,
MUSKET VALLEY TRL|DAY CAMP LN|LARCH VALLEY DR,MUSKET VALLEY TRL,DAY CAMP LN,LARCH VALLEY DR,['2019-11-01'],Collector,B,B,B,2020.0,2018.0,2018.0,1739,1,
MUSKET VALLEY TRL|DAY CAMP LN|SPRINKLE CUTOFF RD,MUSKET VALLEY TRL,SPRINKLE CUTOFF RD,DAY CAMP LN,['2019-11-01'],Collector,A,C,C,2020.0,2018.0,2018.0,1739,1,
MUSKET VALLEY TRL|DEAD END|SATCHEL DR,MUSKET VALLEY TRL,DEAD END,SATCHEL DR,"['2018-03-19', '2019-11-01']",Residential,A,C,C,2022.0,2018.0,2018.0,1739,2,592.0
MUSKET VALLEY TRL|E BRAKER LN|SATCHEL DR,MUSKET VALLEY TRL,SATCHEL DR,E BRAKER LN,"['2018-03-19', '2019-11-01']",Residential,D,C,C,2020.0,2018.0,2018.0,1739,2,592.0
MUSKET VALLEY TRL|FLUSHWING DR|GOSSAMER DR,MUSKET VALLEY TRL,GOSSAMER DR,FLUSHWING DR,['2019-11-01'],Collector,B,B,B,2020.0,2018.0,2018.0,1739,1,
MUSKET VALLEY TRL|FLUSHWING DR|LONG WINTER DR,MUSKET VALLEY TRL,FLUSHWING DR,LONG WINTER DR,['2019-11-01'],Collector,B,B,B,2020.0,2018.0,2018.0,1739,1,
MUSKET VALLEY TRL|GOSSAMER DR|WET SEASON DR,MUSKET VALLEY TRL,WET SEASON DR,GOSSAMER DR,['2019-11-01'],Collector,B,B,B,2020.0,2018.0,2018.0,1739,1,
MUSKET VALLEY TRL|LARCH VALLEY DR|TIMBER HEIGHTS DR,MUSKET VALLEY TRL,LARCH VALLEY DR,TIMBER HEIGHTS DR,['2019-11-01'],Collector,C,C,C,2020.0,2018.0,2018.0,1739,1,
MUSKET VALLEY TRL|LONG WINTER DR|TIMBER HEIGHTS DR,MUSKET VALLEY TRL,LONG WINTER DR,TIMBER HEIGHTS DR,['2019-11-01'],Collector,B,D,D,2020.0,2018.0,2018.0,1739,1,
MUSKET VALLEY TRL|TIMBER HEIGHTS DR|WET SEASON DR,MUSKET VALLEY TRL,TIMBER HEIGHTS DR,WET SEASON DR,['2019-11-01'],Collector,A,C,C,2020.0,2018.0,2018.0,1739,1,
MUSTANG CHASE|12416|DEER TRACK,MUSTANG CHASE,DEER TRACK,12416,['2018-06-14'],Collector,F,C,C,2020.0,2018.0,2018.0,2244,1,
MUSTANG CHASE|BRANDING CHASE|HEREFORD WAY,MUSTANG CHASE,BRANDING CHASE,HEREFORD WAY,['2018-06-14'],Collector,B,C,C,2020.0,2018.0,2018.0,2244,1,
MUSTANG CHASE|BRANDING CHASE|PONY CHASE,MUSTANG CHASE,PONY CHASE,BRANDING CHASE,['2018-06-14'],Collector,B,C,C,2020.0,2018.0,2018.0,2244,1,
MUSTANG CHASE|BULL RUN|GATE WAY,MUSTANG CHASE,GATE WAY,BULL RUN,['2018-06-14'],Collector,F,C,C,2020.0,2018.0,2018.0,2244,1,
MUSTANG CHASE|BULL RUN|RAMBLING RANGE,MUSTANG CHASE,BULL RUN,RAMBLING RANGE,['2018-06-14'],Collector,C,C,C,2020.0,2018.0,2018.0,2244,1,
MUSTANG CHASE|DEER TRACK|MAVERICK DR,MUSTANG CHASE,MAVERICK DR,DEER TRACK,['2018-06-14'],Collector,B,C,C,2020.0,2018.0,2018.0,2244,1,
MUSTANG CHASE|DUVAL RD|GATE WAY,MUSTANG CHASE,DUVAL RD,GATE WAY,['2018-06-14'],Collector,B,C,C,2020.0,2018.0,2018.0,2244,1,
MUSTANG CHASE|HEREFORD WAY|PONDEROSA PKWY,MUSTANG CHASE,HEREFORD WAY,PONDEROSA PKWY,['2018-06-14'],Collector,C,D,D,2020.0,2018.0,2018.0,2244,1,
MUSTANG CHASE|MAVERICK DR|PONDEROSA PKWY,MUSTANG CHASE,PONDEROSA PKWY,MAVERICK DR,['2018-06-14'],Collector,C,C,C,2020.0,2018.0,2018.0,2244,1,
MUSTANG CHASE|PONY CHASE|RAMBLING RANGE,MUSTANG CHASE,RAMBLING RANGE,PONY CHASE,['2018-06-14'],Collector,B,B,B,2020.0,2018.0,2018.0,2244,1,
MYRA CT|6211|YELLOW ROSE TRL,MYRA CT,YELLOW ROSE TRL,6211,['2018-05-22'],Residential,F,C,C,2022.0,2019.0,2017.0,2267,1,
N IH 35 NB TO AIRPORT SB RAMP|0|0,N IH 35 NB TO AIRPORT SB RAMP,0,0,['2018-03-16'],Arterial,C,C,C,2021.0,2018.0,2018.0,2334,1,
NANDAS TRL|COVERED BRIDGE DR|MOCAASIN PATH,NANDAS TRL,COVERED BRIDGE DR,MOCAASIN PATH,['2019-11-01'],Residential,B,C,C,2022.0,2019.0,2017.0,1739,1,
NARROW GLEN PKWY|BRANDTS WOOD ST|BRENTS ELM DR,NARROW GLEN PKWY,BRENTS ELM DR,BRANDTS WOOD ST,['2019-09-04'],Collector,B,B,B,2022.0,2019.0,2017.0,1797,1,
NARROW GLEN PKWY|BRANDTS WOOD ST|ROWLANDS SAYLE RD,NARROW GLEN PKWY,BRANDTS WOOD ST,ROWLANDS SAYLE RD,['2019-09-04'],Collector,C,C,C,2022.0,2019.0,2017.0,1797,1,
NARROW GLEN PKWY|BRENTS ELM DR|MERIDIAN OAK CV,NARROW GLEN PKWY,MERIDIAN OAK CV,BRENTS ELM DR,['2019-09-04'],Collector,A,B,A,2022.0,2019.0,2017.0,1797,1,
NARROW GLEN PKWY|GRANT FOREST DR|MELISSA OAKS LN,NARROW GLEN PKWY,MELISSA OAKS LN,GRANT FOREST DR,['2019-09-04'],Collector,C,C,C,2022.0,2019.0,2017.0,1797,1,
NARROW GLEN PKWY|GRANT FOREST DR|PIONEER FOREST DR,NARROW GLEN PKWY,GRANT FOREST DR,PIONEER FOREST DR,['2019-09-04'],Collector,A,A,A,2022.0,2019.0,2017.0,1797,1,
NARROW GLEN PKWY|MERIDIAN OAK CV|PIONEER FOREST DR,NARROW GLEN PKWY,PIONEER FOREST DR,MERIDIAN OAK CV,['2019-09-04'],Collector,B,C,C,2022.0,2019.0,2017.0,1797,1,
NARROW GLEN PKWY|ROWLANDS SAYLE RD|SLAUGHTER LN E,NARROW GLEN PKWY,ROWLANDS SAYLE RD,SLAUGHTER LN E,['2019-09-04'],Collector,C,D,D,2022.0,2019.0,2017.0,1797,1,
NASHUA CT|6111|NEEDLES DR,NASHUA CT,NEEDLES DR,6111,['2016-10-07'],Residential,F,D,F,2021.0,2019.0,2017.0,2859,1,
NATALI ST|615|SWANSON LN,NATALI ST,SWANSON LN,615,['2016-10-04'],Residential,D,B,B,2022.0,2019.0,2017.0,2862,1,
NATIVE DANCER CV|3500|CARRY BACK LN,NATIVE DANCER CV,3500,CARRY BACK LN,['2016-10-07'],Residential,C,C,C,2021.0,2019.0,2017.0,2859,1,
NATURES BND|BOWERY TRL|CLEAR STREAM XING,NATURES BND,CLEAR STREAM XING,BOWERY TRL,['2018-03-16'],Collector,C,D,D,2020.0,2018.0,2018.0,2334,1,
NATURES BND|BOWERY TRL|CUL DE SAC,NATURES BND,BOWERY TRL,CUL DE SAC,['2018-03-16'],Collector,F,D,D,2020.0,2018.0,2018.0,2334,1,
NATURES BND|CLEAR STREAM XING|WATERFALL WAY,NATURES BND,WATERFALL WAY,CLEAR STREAM XING,['2018-03-16'],Collector,C,D,D,2020.0,2018.0,2018.0,2334,1,
NATURES BND|WATERFALL WAY|YAGER LN E,NATURES BND,YAGER LN E,WATERFALL WAY,['2018-03-16'],Collector,B,C,C,2020.0,2018.0,2018.0,2334,1,
NAVAJO PATH|4501|PACK SADDLE PASS,NAVAJO PATH,4501,PACK SADDLE PASS,['2017-09-08'],Residential,D,C,C,2022.0,2019.0,2017.0,2523,1,
NAVASOTA ST|10TH ST E|11TH ST E,NAVASOTA ST,10TH ST E,11TH ST E,['2017-07-22'],Collector,F,D,D,2021.0,2018.0,2018.0,2571,1,
NAVASOTA ST|10TH ST E|9TH ST E,NAVASOTA ST,9TH ST E,10TH ST E,['2017-07-22'],Collector,C,C,C,2021.0,2018.0,2018.0,2571,1,
NAVASOTA ST|1170|1171,NAVASOTA ST,1170,1171,['2018-07-24'],Collector,C,D,D,2021.0,2018.0,2018.0,2204,1,
NAVASOTA ST|1172|1185,NAVASOTA ST,1172,1185,['2018-07-24'],Collector,C,B,B,2021.0,2018.0,2018.0,2204,1,
NAVASOTA ST|11TH ST E|JUNIPER ST,NAVASOTA ST,11TH ST E,JUNIPER ST,['2018-07-24'],Collector,B,D,D,2021.0,2018.0,2018.0,2204,1,
NAVASOTA ST|12TH ST E|CATALPA ST,NAVASOTA ST,CATALPA ST,12TH ST E,['2018-07-24'],Collector,F,D,D,2021.0,2018.0,2018.0,2204,1,
NAVASOTA ST|2ND ST E|3RD ST E,NAVASOTA ST,2ND ST E,3RD ST E,['2018-10-05'],Residential,D,D,D,2021.0,2018.0,2018.0,2131,1,
NAVASOTA ST|2ND ST E|CESAR CHAVEZ ST E,NAVASOTA ST,CESAR CHAVEZ ST E,2ND ST E,['2018-10-05'],Residential,F,B,B,2021.0,2018.0,2018.0,2131,1,
NAVASOTA ST|4TH ST E|5TH ST E,NAVASOTA ST,4TH ST E,5TH ST E,['2017-07-22'],Collector,D,B,B,2021.0,2018.0,2018.0,2571,1,
NAVASOTA ST|5TH ST E|6TH ST E,NAVASOTA ST,5TH ST E,6TH ST E,['2017-07-22'],Collector,F,C,C,2021.0,2018.0,2018.0,2571,1,
NAVASOTA ST|6TH ST E|7TH ST E,NAVASOTA ST,6TH ST E,7TH ST E,['2017-07-22'],Collector,D,D,D,2021.0,2018.0,2018.0,2571,1,
NAVASOTA ST|7TH ST E|8TH ST E,NAVASOTA ST,7TH ST E,8TH ST E,['2017-07-22'],Collector,F,F,F,2021.0,2018.0,2018.0,2571,1,
NAVASOTA ST|8TH ST E|INKS AVE,NAVASOTA ST,8TH ST E,INKS AVE,['2017-07-22'],Collector,B,D,D,2021.0,2018.0,2018.0,2571,1,
NAVASOTA ST|9TH ST E|INKS AVE,NAVASOTA ST,INKS AVE,9TH ST E,['2017-07-22'],Collector,D,C,C,2021.0,2018.0,2018.0,2571,1,
NAVASOTA ST|AMBER ST|CATALPA ST,NAVASOTA ST,AMBER ST,CATALPA ST,['2018-07-24'],Collector,B,B,B,2021.0,2018.0,2018.0,2204,1,
NAVASOTA ST|AMBER ST|OLIVE ST,NAVASOTA ST,OLIVE ST,AMBER ST,['2018-07-24'],Collector,D,D,D,2021.0,2018.0,2018.0,2204,1,
NAVASOTA ST|CESAR CHAVEZ ST E|WILLOW ST,NAVASOTA ST,WILLOW ST,CESAR CHAVEZ ST E,['2018-10-05'],Collector,C,B,B,2021.0,2018.0,2018.0,2131,1,
NAVASOTA ST|HACKBERRY ST|JUNIPER ST,NAVASOTA ST,JUNIPER ST,HACKBERRY ST,['2018-07-24'],Collector,C,C,C,2021.0,2018.0,2018.0,2204,1,
NAVASOTA ST|HACKBERRY ST|MYRTLE ST,NAVASOTA ST,HACKBERRY ST,MYRTLE ST,['2018-07-24'],Collector,F,F,F,2021.0,2018.0,2018.0,2204,1,
NEAL ST|GLEN RAE ST|KUHLMAN AVE,NEAL ST,GLEN RAE ST,KUHLMAN AVE,['2017-07-20'],Collector,C,D,D,2021.0,2018.0,2018.0,2573,1,
NEAL ST|GLEN RAE ST|WEBBERVILLE RD,NEAL ST,WEBBERVILLE RD,GLEN RAE ST,['2017-07-20'],Collector,C,D,D,2021.0,2018.0,2018.0,2573,1,
NEAL ST|HARGRAVE ST|KUHLMAN AVE,NEAL ST,KUHLMAN AVE,HARGRAVE ST,['2017-07-20'],Collector,D,F,F,2021.0,2018.0,2018.0,2573,1,
NEANS DR|ASPEN ST|PARKFIELD DR,NEANS DR,ASPEN ST,PARKFIELD DR,['2017-02-17'],Collector,B,C,C,2020.0,2018.0,2018.0,2726,1,
NEANS DR|ASPEN ST|RAY AVE,NEANS DR,RAY AVE,ASPEN ST,['2017-02-17'],Collector,C,F,F,2020.0,2018.0,2018.0,2726,1,
NEANS DR|CRIPPLE CREEK DR|MEARNS MEADOW BLVD,NEANS DR,CRIPPLE CREEK DR,MEARNS MEADOW BLVD,['2017-02-17'],Residential,B,B,B,2020.0,2018.0,2018.0,2726,1,
NEANS DR|CRIPPLE CREEK DR|PARKFIELD DR,NEANS DR,PARKFIELD DR,CRIPPLE CREEK DR,['2017-02-17'],Residential,B,C,C,2020.0,2018.0,2018.0,2726,1,
NEANS DR|LAMAR BLVD N|RAY AVE,NEANS DR,LAMAR BLVD N,RAY AVE,['2017-02-17'],Collector,D,B,B,2020.0,2018.0,2018.0,2726,1,
NEEDLES DR|3400|GUN BOW CT,NEEDLES DR,3400,GUN BOW CT,['2016-10-07'],Residential,C,C,C,2021.0,2019.0,2017.0,2859,1,
NELRAY BLVD|CHESTERFIELD AVE|GUADALUPE ST,NELRAY BLVD,CHESTERFIELD AVE,GUADALUPE ST,['2017-08-18'],Residential,B,C,C,2021.0,2018.0,2018.0,2544,1,
NELRAY BLVD|GUADALUPE ST|LAMAR BLVD N,NELRAY BLVD,GUADALUPE ST,LAMAR BLVD N,['2017-08-18'],Residential,C,C,C,2021.0,2018.0,2018.0,2544,1,
