ID,Length,Material,Diameter,Installed,Leak Occurred
100557,3.7 ft,PVC,6,39723,0
100558,10 ft,Ductile Iron,12,30682,0
100559,13 ft,Ductile Iron,12,30682,0
10056,13.13 ft,PVC,8,38018,0
100560,9.9 ft,Ductile Iron,12,30682,0
100561,4.8 ft,PVC,8,39723,0
100562,4.5 ft,PVC,8,39723,0
100563,8.48 ft,PVC,6,39723,0
100564,8.5 ft,PVC,6,39723,0
100565,4.94 ft,PVC,6,39708,0
100566,4 ft,PVC,6,39708,0
100567,6.36 ft,Cast Iron,6,26665,0
100568,8.35 ft,PVC,8,39708,0
100569,17.84 ft,PVC,8,39708,0
10057,46.58 ft,PVC,8,38018,0
100570,219.19 ft,PVC,8,39708,0
100571,3.39 ft,PVC,6,39708,0
100572,3.35 ft,PVC,6,39708,0
100573,10 ft,PVC,8,39708,0
100574,14.41 ft,PVC,8,39708,0
100575,9.96 ft,PVC,8,39708,0
100576,18 ft,PVC,8,39708,0
100577,3.7 ft,PVC,8,39708,0
100578,3 ft,PVC,6,39708,0
100579,2.51 ft,PVC,6,39708,0
10058,11.9 ft,PVC,8,38018,0
100580,462.06 ft,PVC,8,39708,0
100581,3.17 ft,PVC,6,39708,0
100582,3.2 ft,PVC,6,39708,0
100583,8 ft,PVC,8,39708,0
100584,7.96 ft,PVC,8,39708,0
100585,5.51 ft,Cast Iron,6,26665,0
100586,109.29 ft,Ductile Iron,12,29952,0
100587,5 ft,PVC,8,38716,0
100588,5.35 ft,PVC,8,38496,0
100589,4.63 ft,PVC,8,38496,0
10059,40.64 ft,PVC,8,38018,0
100590,10.13 ft,PVC,8,38762,0
100591,10 ft,PVC,8,38762,0
100592,10 ft,Ductile Iron,8,38707,0
100593,218 ft,PVC,8,38707,0
100594,10.38 ft,PVC,8,38707,0
100595,10.45 ft,PVC,6,36839,0
100596,18 ft,PVC,6,36839,0
100597,11 ft,PVC,8,38768,0
100598,10.01 ft,PVC,8,38768,0
100599,24 ft,PVC,4,38736,0
1006,20.08 ft,Ductile Iron,6,31778,0
100600,10.46 ft,PVC,4,38736,0
100601,10 ft,PVC,8,38700,0
100602,7.8 ft,PVC,8,38700,0
100603,15.17 ft,PVC,8,38700,0
100604,101.8 ft,PVC,8,38700,0
100605,7.41 ft,PVC,8,38700,0
100606,26.99 ft,PVC,8,38700,0
100607,10.18 ft,PVC,8,38700,0
100608,12.63 ft,PVC,8,38700,0
100609,5 ft,PVC,8,38700,0
