Street Name,Segment ID,From Limit Street,To Limit Street,Maintenance Dates,Treatments,Street_Condition_2018.0,Street_Condition_2020.0,Street_Condition_2022.0,Street_Condition_2021.0,Street_Condition_2019.0,Street_Condition_2017.0,Street_Condition_2013.0,Street Name_2018.0,Street Name_2020.0,Street Name_2022.0,Street Name_2021.0,Street Name_2019.0,Street Name_2017.0,Street Name_2013.0,From Limit Street_2018.0,From Limit Street_2020.0,From Limit Street_2022.0,From Limit Street_2021.0,From Limit Street_2019.0,From Limit Street_2017.0,From Limit Street_2013.0,To Limit Street_2018.0,To Limit Street_2020.0,To Limit Street_2022.0,To Limit Street_2021.0,To Limit Street_2019.0,To Limit Street_2017.0,To Limit Street_2013.0,Functional Class_2018.0,Functional Class_2020.0,Functional Class_2022.0,Functional Class_2021.0,Functional Class_2019.0,Functional Class_2017.0,Functional Class_2013.0,Final_Grade_2018.0,Final_Grade_2020.0,Final_Grade_2022.0,Final_Grade_2021.0,Final_Grade_2019.0,Final_Grade_2017.0,Final_Grade_2013.0,Inspection ID_2018.0,Inspection ID_2020.0,Inspection ID_2022.0,Inspection ID_2021.0,Inspection ID_2019.0,Inspection ID_2017.0,Inspection ID_2013.0,Full Street Name from GIS_2018.0,Full Street Name from GIS_2020.0,Full Street Name from GIS_2022.0,Full Street Name from GIS_2021.0,Full Street Name from GIS_2019.0,Full Street Name from GIS_2017.0,Full Street Name from GIS_2013.0,Street End Type_2018.0,Street End Type_2020.0,Street End Type_2022.0,Street End Type_2021.0,Street End Type_2019.0,Street End Type_2017.0,Street End Type_2013.0,Main. Agency_2018.0,Main. Agency_2020.0,Main. Agency_2022.0,Main. Agency_2021.0,Main. Agency_2019.0,Main. Agency_2017.0,Main. Agency_2013.0,Pavement Type_2018.0,Pavement Type_2020.0,Pavement Type_2022.0,Pavement Type_2021.0,Pavement Type_2019.0,Pavement Type_2017.0,Pavement Type_2013.0,Year_2018.0,Year_2020.0,Year_2022.0,Year_2021.0,Year_2019.0,Year_2017.0,Year_2013.0,Number of Maintenance Events,Days Since Last Maintenance,Average Time Between Maintenances
ALDEN DR,2011023,JAMESTOWN DR,BRADFORD DR,2018-08-07,PMOL,0.0,,,,,,,ALDEN DR,ALDEN DR,,,,,,JAMESTOWN DR,JAMESTOWN DR,,,,,,BRADFORD DR,BRADFORD DR,,,,,,Residential,Residential,,,,,,F,B,,,,,,,2020 Data,,,,,,ALDEN DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2194,
ALDERBROOK DR,2006288,PIPERS FIELD DR,BLALOCK DR,"2018-07-16, 2018-07-16, 2018-07-16, 2018-07-16, 2018-07-16","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",1.0,,,,,,,ALDERBROOK DR,ALDERBROOK DR,,,,,,PIPERS FIELD DR,PIPERS FIELD DR,,,,,,BLALOCK DR,BLALOCK DR,,,,,,Collector,Collector,,,,,,C,A,,,,,,,2020 Data,,,,,,ALDERBROOK DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,5,2216,0.0
ALDFORD DR,2024970,CAMPDEN DR,CAMPDEN DR,2017-02-02,PMOL,,,,,1.0,1.0,,,,ALDFORD DR,,ALDFORD DR,ALDFORD DR,,,,CAMPDEN DR,,CAMPDEN DR,CAMPDEN DR,,,,CAMPDEN DR,,CAMPDEN DR,CAMPDEN DR,,,,Residential,,Residential,Residential,,,,B,,B,B,,,,2022 Data,,,,,,,,,ALDFORD DR,ALDFORD DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2745,
ALDRICH ST,3348612,SIMOND AVE,MC BEE ST,"2019-11-04, 2019-11-04, 2019-11-04, 2019-11-04, 2019-11-04, 2019-11-04","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,ALDRICH ST,,,ALDRICH ST,,,,SIMOND AVE,,,SIMOND AVE,,,,MC BEE ST,,,MC BEE ST,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,ALDRICH ST,,,,,,,Dead End,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,6,1740,0.0
ALEGRIA RD,2011912,GROVER AVE,WOODROW AVE,2019-03-01,PMOL,0.0,,,,,,,ALEGRIA RD,ALEGRIA RD,,,,,,GROVER AVE,GROVER AVE,,,,,,WOODROW AVE,WOODROW AVE,,,,,,Residential,Residential,,,,,,D,B,,,,,,,2020 Data,,,,,,ALEGRIA RD,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1988,
ALEXANDER AVE,2017556,22ND ST E,MANOR RD,"2017-04-06, 2017-04-06, 2017-04-06","PMOL, PMOL, PMOL",1.0,,,,,,,ALEXANDER AVE,,,ALEXANDER AVE,,,,22ND ST E,,,22ND ST E,,,,MANOR RD,,,MANOR RD,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,ALEXANDER AVE,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2682,0.0
ALGUNO RD,2011865,ARROYO SECO,CAMINO REAL,2017-05-15,FSMOL,1.0,,,,,,,ALGUNO RD,ALGUNO RD,,,,,,ARROYO SECO,ARROYO SECO,,,,,,CAMINO REAL,CAMINO REAL,,,,,,Residential,Residential,,,,,,B,A,,,,,,,2020 Data,,,,,,ALGUNO RD,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2643,
ALLAMANDA DR,5065378,CORNFLOWER DR,5101,2018-03-26,CRCKSL,,,,,1.0,1.0,,,,ALLAMANDA DR,,ALLAMANDA DR,ALLAMANDA DR,,,,CORNFLOWER DR,,CORNFLOWER DR,CORNFLOWER DR,,,,5101,,5101,5101,,,,Residential,,Residential,Residential,,,,D,,A,A,,,,2022 Data,,,,,,,,,ALLAMANDA DR,ALLAMANDA DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2328,
ALLEN RD,2041128,PINNACLE RD,EASY ST,"2018-11-02, 2018-11-02, 2018-11-02","SLCT6, SLCT6, SLCT6",,,,,1.0,1.0,,,,,ALLEN RD,ALLEN RD,ALLEN RD,,,,,PINNACLE RD,PINNACLE RD,PINNACLE RD,,,,,EASY ST,EASY ST,EASY ST,,,,,Residential,Residential,Residential,,,,,C,A,C,,,,,2021 Data,,,,,,,,ALLEN RD,ALLEN RD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,3,2107,0.0
ALLEN ST,2019485,5TH ST E,HIDALGO ST,"2018-10-31, 2018-10-31, 2018-10-31","PMOL, PMOL, PMOL",1.0,,,,,,,ALLEN ST,,,ALLEN ST,,,,5TH ST E,,,5TH ST E,,,,HIDALGO ST,,,HIDALGO ST,,,,Residential,,,Residential,,,,C,,,B,,,,,,,2021 Data,,,,ALLEN ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2109,0.0
ALLEYTON DR,5078864,HESTER RD,SPANISH CAMP CV,"2019-11-04, 2019-11-04","CRCKSL, CRCKSL",1.0,,,,,,,ALLEYTON DR,,,ALLEYTON DR,,,,HESTER RD,,,HESTER RD,,,,SPANISH CAMP CV,,,SPANISH CAMP CV,,,,Residential,,,Residential,,,,B,,,B,,,,,,,2021 Data,,,,ALLEYTON DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,1740,0.0
ALLWOOD PATH,2028055,MONTWOOD TRL,YANDALL DR,2019-08-07,SLCT6,,,,,1.0,1.0,,,,ALLWOOD PATH,,ALLWOOD PATH,ALLWOOD PATH,,,,MONTWOOD TRL,,MONTWOOD TRL,MONTWOOD TRL,,,,YANDALL DR,,YANDALL DR,YANDALL DR,,,,Residential,,Residential,Residential,,,,C,,B,B,,,,2022 Data,,,,,,,,,ALLWOOD PATH,ALLWOOD PATH,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,1829,
ALLYSON CT,2034119,5001,TERI RD,2016-10-05,SLURRY,,,,,1.0,1.0,,,,ALLYSON CT,,ALLYSON CT,ALLYSON CT,,,,5001,,5001,5001,,,,TERI RD,,TERI RD,TERI RD,,,,Residential,,Residential,Residential,,,,C,,C,C,,,,2022 Data,,,,,,,,,ALLYSON CT,ALLYSON CT,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2865,
ALMOND CV,2032432,LAKEWOOD POINT CV,7614,2018-10-23,SLCT6,1.0,,,,,,,ALMOND CV,ALMOND CV,,,,,,LAKEWOOD POINT CV,LAKEWOOD POINT CV,,,,,,7614,7614,,,,,,Residential,Residential,,,,,,B,D,,,,,,,2020 Data,,,,,,ALMOND CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2117,
ALOMAR CV,2036597,QUIRIN DR,THOME VALLEY DR,"2019-09-17, 2019-09-17, 2019-09-17, 2019-09-17, 2019-09-17","LUSLCT6, LUSLCT6, LUSLCT6, LUSLCT6, LUSLCT6",,,,,0.0,0.0,,,,ALOMAR CV,,ALOMAR CV,ALOMAR CV,,,,QUIRIN DR,,QUIRIN DR,QUIRIN DR,,,,THOME VALLEY DR,,THOME VALLEY DR,THOME VALLEY DR,,,,Residential,,Residential,Residential,,,,F,,D,D,,,,2022 Data,,,,,,,,,ALOMAR CV,ALOMAR CV,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,5,1788,0.0
ALONDRA LN,2017181,SIGNAL PT,PINON VISTA DR,"2017-08-23, 2017-08-23","SLCT6, SLCT6",1.0,,,,,,,ALONDRA LN,,,ALONDRA LN,,,,SIGNAL PT,,,SIGNAL PT,,,,PINON VISTA DR,,,PINON VISTA DR,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,ALONDRA LN,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2543,0.0
ALOPHIA DR,2048259,HERDA DR,CELENDINE DR,"2019-07-26, 2019-07-26, 2019-07-26, 2019-07-26, 2019-07-26, 2019-07-26, 2019-07-26, 2019-07-26","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",,,,,1.0,1.0,,,,ALOPHIA DR,,ALOPHIA DR,ALOPHIA DR,,,,HERDA DR,,HERDA DR,HERDA DR,,,,CELENDINE DR,,CELENDINE DR,CELENDINE DR,,,,Residential,,Residential,Residential,,,,A,,B,A,,,,2022 Data,,,,,,,,,ALOPHIA DR,ALOPHIA DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,8,1841,0.0
ALPHEUS AVE,2039251,ACROPOLIS CT,WHISPERING VALLEY DR,2018-06-21,SLCT6,1.0,,,,,,,ALPHEUS AVE,ALPHEUS AVE,,,,,,ACROPOLIS CT,ACROPOLIS CT,,,,,,WHISPERING VALLEY DR,WHISPERING VALLEY DR,,,,,,Residential,Residential,,,,,,A,A,,,,,,,2020 Data,,,,,,ALPHEUS AVE,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2241,
ALSACE TRL,2017165,SENDERO HILLS PKWY,SENDERO HILLS PKWY,2017-08-23,SLCT6,0.0,,,,,,,ALSACE TRL,,,ALSACE TRL,,,,SENDERO HILLS PKWY,,,SENDERO HILLS PKWY,,,,SENDERO HILLS PKWY,,,SENDERO HILLS PKWY,,,,Residential,,,Residential,,,,D,,,D,,,,,,,2021 Data,,,,ALSACE TRL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2543,
ALTA CT,2033337,BONNELL DR,3607,2018-10-22,CRCKSL,1.0,,,,,,,ALTA CT,,,ALTA CT,,,,BONNELL DR,,,BONNELL DR,,,,3607,,,3607,,,,Residential,,,Residential,,,,C,,,F,,,,,,,2021 Data,,,,ALTA CT,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2118,
ALTA VISTA AVE,2047073,RIVERSIDE DR E,RUTHERFORD PL,"2017-07-19, 2017-07-19, 2017-07-19, 2017-07-19, 2017-07-19, 2017-07-19, 2017-07-19, 2017-07-19","SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5",,,,,1.0,1.0,,,,,ALTA VISTA AVE,ALTA VISTA AVE,ALTA VISTA AVE,,,,,RIVERSIDE DR E,RIVERSIDE DR E,RIVERSIDE DR E,,,,,RUTHERFORD PL,RUTHERFORD PL,RUTHERFORD PL,,,,,Residential,Residential,Residential,,,,,D,C,C,,,,,2021 Data,,,,,,,,ALTA VISTA AVE,ALTA VISTA AVE,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,8,2578,0.0
ALTIDORE DR,5109752,ONDANTRA BND,ONDANTRA BND,"2018-03-22, 2019-11-01","CRCKSL, CRCKSL",,,,,1.0,1.0,,,,ALTIDORE DR,,ALTIDORE DR,ALTIDORE DR,,,,ONDANTRA BND,,ONDANTRA BND,ONDANTRA BND,,,,ONDANTRA BND,,ONDANTRA BND,ONDANTRA BND,,,,Residential,,Residential,Residential,,,,B,,B,B,,,,2022 Data,,,,,,,,,ALTIDORE DR,ALTIDORE DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,1743,589.0
ALUM ROCK CV,2046119,ALUM ROCK DR,8429,2016-10-19,CRCKSL,,,,,0.0,1.0,,,,ALUM ROCK CV,,ALUM ROCK CV,ALUM ROCK CV,,,,ALUM ROCK DR,,ALUM ROCK DR,ALUM ROCK DR,,,,8429,,8429,8429,,,,Collector,,Collector,Collector,,,,F,,D,C,,,,2022 Data,,,,,,,,,ALUM ROCK CV,ALUM ROCK CV,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2851,
ALUM ROCK DR,3329739,7809,7925,"2016-10-19, 2016-10-19, 2016-10-19, 2016-10-19, 2016-10-19, 2016-10-19, 2016-10-19, 2016-10-19, 2016-10-19, 2016-10-19","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",,,,,1.0,1.0,,,,ALUM ROCK DR,,ALUM ROCK DR,ALUM ROCK DR,,,,7809,,7809,7809,,,,7925,,7925,7925,,,,Residential,,Residential,Residential,,,,D,,C,C,,,,2022 Data,,,,,,,,,ALUM ROCK DR,ALUM ROCK DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,10,2851,0.0
ALY MAY DR,5058369,MEADOWSOUTH LN,CEDAR STAND PASS,"2018-03-22, 2018-03-22, 2018-03-22, 2018-03-22, 2018-03-22, 2018-03-22","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL",,,,,1.0,1.0,,,,ALY MAY DR,,ALY MAY DR,ALY MAY DR,,,,MEADOWSOUTH LN,,MEADOWSOUTH LN,MEADOWSOUTH LN,,,,CEDAR STAND PASS,,CEDAR STAND PASS,CEDAR STAND PASS,,,,Residential,,Residential,Residential,,,,A,,B,B,,,,2022 Data,,,,,,,,,ALY MAY DR,ALY MAY DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,6,2332,0.0
ALYSHEBA DR,2036613,SEATTLE SLEW DR,WAR ADMIRAL DR,2019-09-17,LUSLCT6,,,,,1.0,1.0,,,,ALYSHEBA DR,,ALYSHEBA DR,ALYSHEBA DR,,,,SEATTLE SLEW DR,,SEATTLE SLEW DR,SEATTLE SLEW DR,,,,WAR ADMIRAL DR,,WAR ADMIRAL DR,WAR ADMIRAL DR,,,,Collector,,Collector,Collector,,,,D,,C,C,,,,2022 Data,,,,,,,,,ALYSHEBA DR,ALYSHEBA DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,1788,
AMALFI CV,2039158,ADELPHI LN,3415,2017-05-19,SLCT6,1.0,,,,,,,AMALFI CV,AMALFI CV,,,,,,ADELPHI LN,ADELPHI LN,,,,,,3415,3415,,,,,,Residential,Residential,,,,,,C,F,,,,,,,2020 Data,,,,,,AMALFI CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2639,
AMBER ST,2018477,WALLER ST,NAVASOTA ST,2017-07-20,SLCT6,1.0,,,,,,,AMBER ST,,,AMBER ST,,,,WALLER ST,,,WALLER ST,,,,NAVASOTA ST,,,NAVASOTA ST,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,AMBER ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2577,
AMBERWOOD CV,2031971,DOE VALLEY LN,9208,2018-05-24,FSMOL,1.0,,,,,,,AMBERWOOD CV,AMBERWOOD CV,,,,,,DOE VALLEY LN,DOE VALLEY LN,,,,,,9208,9208,,,,,,Residential,Residential,,,,,,C,D,,,,,,,2020 Data,,,,,,AMBERWOOD CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2269,
AMBLESIDE DR,2006225,FORSYTHE DR,GRIMSLEY DR,2017-05-13,SLCT6,1.0,,,,,,,AMBLESIDE DR,AMBLESIDE DR,,,,,,FORSYTHE DR,FORSYTHE DR,,,,,,GRIMSLEY DR,GRIMSLEY DR,,,,,,Residential,Residential,,,,,,C,C,,,,,,,2020 Data,,,,,,AMBLESIDE DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2645,
